Unique Identifier,Body,Type,Other,Session,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
2022-06-27 Regular,City Council,Regular,,2022,2022-06-27,05:30 PM,completed,4072,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4072,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3677&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3677&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2536&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2536&Inline=True
2022-06-29 Ad-Hoc,City Council,Ad-Hoc,,2022,2022-06-29,03:00 PM,completed,4146,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4146,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3680&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3680&Inline=True,,
2022-07-05 Special,City Council,Special,,2022,2022-07-05,11:00 AM,completed,4147,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4147,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3681&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3681&Inline=True,,
2022-07-20 Special,City Council,Special,,2022,2022-07-20,04:30 PM,completed,4154,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4154,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3686&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3686&Inline=True,,
2022-08-01 Special,City Council,Special,,2022,2022-08-01,05:30 PM,completed,4102,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4102,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3693&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3693&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2547&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2547&Inline=True
2022-09-12 Regular,City Council,Regular,,2022,2022-09-12,05:30 PM,completed,4157,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4157,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3711&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3711&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2559&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2559&Inline=True
2022-09-19 Regular,City Council,Regular,,2022,2022-09-19,05:30 PM,completed,4178,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4178,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3714&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3714&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2562&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2562&Inline=True
2022-10-03 Regular,City Council,Regular,,2022,2022-10-03,05:30 PM,completed,4179,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4179,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3720&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3720&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2568&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2568&Inline=True
2022-10-03 Public Hearing,City Council,Public Hearing,,2022,2022-10-03,06:30 PM,completed,4197,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4197,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3721&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3721&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2571&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2571&Inline=True
2022-10-17 Regular,City Council,Regular,,2022,2022-10-17,05:30 PM,completed,4180,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4180,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3731&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3731&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2572&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2572&Inline=True
2022-10-24 Regular,City Council,Regular,,2022,2022-10-24,05:30 PM,completed,4181,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4181,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=3732&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=3732&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2573&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2573&Inline=True
