Body,Type,Other,Date,Time,Status,Id,url,Agenda Summary,Agenda Packet,Final Actions,Minutes
Community Benefits Advisory Committee,Regular,,10/02/20,11:00 AM,completed,2823,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2823,,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2287&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2287&Inline=True
City Council,Special,,10/05/20,05:00 PM,completed,2752,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2752,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2308&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2308&Inline=True,,
City Council,Regular,,10/05/20,05:30 PM,completed,2688,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2688,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2303&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2303&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2234&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2234&Inline=True
City Council,Special,,10/05/20,06:30 PM,completed,2729,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2729,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2281&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2281&Inline=True,,
Planning Board,Planning Board,,10/06/20,06:30 PM,completed,2715,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2715,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2304&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2257&Inline=True
Public Safety Committee,Committee,,10/07/20,10:00 AM,completed,2741,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2741,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2297&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2297&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2235&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2235&Inline=True
"Neighborhood & Long Term Planning, Public Facilities, Arts & Celebration Committee",Committee,,10/07/20,02:00 PM,completed,2738,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2738,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2295&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2295&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2265&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2265&Inline=True
Board of Zoning Appeal,Hearing – Remote,,10/08/20,06:00 PM,completed,2736,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2736,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2293&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2293&Inline=True,,
Health & Environment Committee,Committee,,10/13/20,03:00 PM,completed,2739,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2739,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2294&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2294&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=2302&Inline=True,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2302&Inline=True
Planning Board,Planning Board,,10/13/20,06:30 PM,completed,2735,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2735,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=2310&Inline=True,,https://cambridgema.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2258&Inline=True
