Unique Identifier,Meeting,Meeting Date,Agenda Number,Category,Awaiting Report,Policy Order,Charter Right,Outcome,Vote,Sumbul Siddiqui,Alanna Mallon,Burhan Azeem,Dennis J. Carlone,Marc C. McGovern,Patricia Nolan,E. Denise Simmons,Paul F. Toner,Quinton Zondervan,Link,Notes
CMA 2023 #252,10/16/23 Regular,10/16/23,1,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20873&CssClass=,APPROPRIATION ADOPTED
CMA 2023 #253,10/16/23 Regular,10/16/23,2,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20875&CssClass=,APPROPRIATION ADOPTED
CMA 2023 #254,10/16/23 Regular,10/16/23,3,Appointment,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20876&CssClass=,
CMA 2023 #255,10/16/23 Regular,10/16/23,4,Appointment,,,,APPROVED,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20887&CssClass=,AND PLACE ON FILE
CMA 2023 #256,10/16/23 Regular,10/16/23,5,Awaiting Report Response,,POR 2023 #147,,Referred to Committee,8-1-0,yes,yes,yes,yes,yes,yes,yes,yes,no,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20874&CssClass=,ORDINANCE
CMA 2023 #257,10/16/23 Regular,10/16/23,6,Transmitting Communication,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20871&CssClass=,AND ADOPTED
CMA 2023 #258,10/16/23 Regular,10/16/23,7,Appropriation,,,,Placed on File,9-0-0,yes,yes,yes,yes,yes,yes,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20872&CssClass=,APPROPRIATION ADOPTED
CMA 2023 #259,10/16/23 Regular,10/16/23,8,Awaiting Report Response,AR-23-23,,,Placed on File,,,,,,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4387&MediaPosition=&ID=20884&CssClass=,
CMA 2023 #260,10/30/23 Regular,10/30/23,1,Appropriation,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4389&MediaPosition=&ID=21004&CssClass=,APPROPRIATION ADOPTED 8-0-1
CMA 2023 #261,10/30/23 Regular,10/30/23,2,Appropriation,,,,Placed on File,8-0-1,yes,yes,yes,yes,yes,absent,yes,yes,yes,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4389&MediaPosition=&ID=21005&CssClass=,APPROPRIATION ADOPTED 8-0-1
