Unique Identifier,Agenda Number,Meeting,Meeting Date,Category,Sponsor,Outcome,Vote,E. Denise Simmons,Marc C. McGovern,Burhan Azeem,Patricia Nolan,Sumbul Siddiqui,Paul F. Toner,Ayesha M. Wilson,Jivan Sobrinho-Wheeler,Catherine Zusy,Yeas,Nays,Present,Absent,Recused,Link,Summary,Notes
RES 2025 #34,4,2025-02-10 Regular,2025-02-10,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=26976&CssClass=,Congratulations to Diego Matho on his retirement from the Cambridge Public Schools.,
RES 2025 #35,5,2025-02-10 Regular,2025-02-10,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=26982&CssClass=,Congratulations to Nancy Smith on her retirement from the Cambridge Health Alliance.,
RES 2025 #36,6,2025-02-10 Regular,2025-02-10,Congratulations,Paul F. Toner,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=27422&CssClass=,Thanks to the volunteers from the Visitor Information Center for their dedication.,
RES 2025 #37,7,2025-02-10 Regular,2025-02-10,Congratulations,Ayesha M. Wilson,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=27436&CssClass=,"Congratulations to Cambridge Author Omo Moses, on his memoir titled ""The White Peril.""",
RES 2025 #38,8,2025-02-10 Regular,2025-02-10,Death Resolution,E. Denise Simmons,Adopted,Unanimous,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4634&MediaPosition=&ID=27446&CssClass=,Condolences To The Family of Robert L. Terrell III,
RES 2025 #39,1,2025-03-03 Regular,2025-03-03,Congratulations,E. Denise Simmons,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27573&CssClass=,That the City Council go on record extending Congratulations to the NAACP Awardees 2025.,
RES 2025 #40,2,2025-03-03 Regular,2025-03-03,Death Resolution,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=27733&CssClass=,Condolences on the death of Eugene Goodwin.,
RES 2025 #41,3,2025-03-03 Regular,2025-03-03,Congratulations,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=26768&CssClass=,Congratulations to Philip Chu on his retirement from  the Cambridge Police Department.,
RES 2025 #42,4,2025-03-03 Regular,2025-03-03,Congratulations,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=26973&CssClass=,Congratulations to Frank Greenidge on his retirement from the Cambridge Police Department,
RES 2025 #43,5,2025-03-03 Regular,2025-03-03,Congratulations,Paul F. Toner,Adopted,8 to 0,yes,yes,yes,yes,absent,yes,yes,yes,yes,,,,,,https://cambridgema.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=4644&MediaPosition=&ID=26974&CssClass=,Congratulations to Paul Holder on his retirement from the Cambridge Health Alliance.,
